row_id,service_item,quantity
0,Air con Issue,1
1,Air con Issue,1
2,Air con Issue,1
3,Call Redirect,1
4,Balcony Door,1
5,Loofah,1
6,Need Assistance,1
7,Need Assistance,1
8,Air con Issue,1
9,Air con Issue,1
10,Change Blanket,1
11,Change Blanket,1
12,More Body lotion,1
13,Need Assistance,1
14,Clear rubbish,1
15,Minibar content removal,1
16,Air con Issue,1
17,Air con Issue,1
18,Need Assistance,1
19,Cannot connect to hotel wifi,1
20,Air con Issue,1
21,Call Redirect,1
22,Blanket,1
23,Coffee Mugs,2
24,Towels refresh,1
25,Combine the beds,1
26,Air con Issue,1
27,Sanitary pads,1
28,Birthday Amenity,1
29,Shampoo,1
30,Extra hangers,1
31,HDMI Assistance,1
32,Need Assistance,1
33,Make up room,1
34,Humidifier,1
35,Call Redirect,1
36,Air con Issue,1
37,Iron,1
38,Dress pressed,1
39,Combine the beds,1
40,Pick up laundry,1
41,Need Assistance,1
42,Cleaning of Bathroom / Bathroom Issue,1
43,Dehumidifier,1
44,Weighting scale,1
45,Need Assistance,1
46,Loan a Phone charger,1
47,Shopping bag,1
48,Request for power adapter,1
49,Loan Umbrella,1
50,Need Assistance,1
51,Need Assistance,1
52,Call Redirect,1
53,Bathroom Ceiling Light Flickering,1
54,Need Assistance,1
55,Cleaning of Bathroom / Bathroom Issue,1
56,UNKNOWN,1
57,Air con Issue,1
58,Handheld Shower Head Holder Loose,1
59,Creamer sachets,1
60,Cleaning of Bathroom / Bathroom Issue,1
61,Loan a Phone charger,1
62,Extra Pillow - Firm,1
63,Extra Pillow - Firm,1
64,Air con Issue,1
65,Request for power adapter,1
66,Air con Issue,1
67,Entrance Wall Socket,1
68,Need Assistance,1
69,Call Redirect,1
70,Air con Issue,1
71,Air con Issue,1
72,Make up room,1
73,Sewing kit,1
74,Shampoo,1
75,Shaving kit,1
76,Handheld Shower Head Holder Loose,1
77,Handheld Shower Head Holder Loose,1
78,Wash Basin Leaking,1
79,Combine the beds,1
80,Bath soap,1
81,Stationery,1
82,Need Assistance,1
83,Straws,1
84,Air con Issue,1
85,Tea bags,1
86,Tissue paper,1
87,Cleaning of Bathroom / Bathroom Issue,1
88,Cleaning of Bathroom / Bathroom Issue,1
89,Call Redirect,1
90,Bath Towel,1
91,Cleaning of Bathroom / Bathroom Issue,1
92,Call Redirect,1
93,TV No Power Supply ,1
94,Air con Issue,1
95,Need Assistance,1
96,Vanity kit,1
97,"1st WUC - MANUAL CALL Up to 3 Times. No Answer, Alert DM!",5
98,Cannot connect to hotel wifi,1
99,Extra Glasses,1
